EMILIANO MARTÍNEZ,"Sep 16, 2020",Aston Villa
ROBIN OLSEN,"Jul 1, 2022",Aston Villa
JOE GAUCI,"Feb 1, 2024",Aston Villa
PAU TORRES,"Jul 12, 2023",Aston Villa
EZRI KONSA,"Jul 11, 2019",Aston Villa
DIEGO CARLOS,"Jul 1, 2022",Aston Villa
TYRONE MINGS,"Jul 8, 2019",Aston Villa
CLÉMENT LENGLET,"Sep 1, 2023",Aston Villa
CALUM CHAMBERS,"Jan 27, 2022",Aston Villa
KORTNEY HAUSE,"Jul 1, 2019",Aston Villa
LUCAS DIGNE,"Jan 13, 2022",Aston Villa
ÁLEX MORENO,"Jan 11, 2023",Aston Villa
MATTY CASH,"Sep 3, 2020",Aston Villa
KAINE KESLER-HAYDEN,-,Aston Villa
BOUBACAR KAMARA,"Jul 1, 2022",Aston Villa
DOUGLAS LUIZ,"Jul 25, 2019",Aston Villa
JACOB RAMSEY,"Jul 1, 2020",Aston Villa
JOHN MCGINN,"Aug 8, 2018",Aston Villa
YOURI TIELEMANS,"Jul 1, 2023",Aston Villa
TIM IROEGBUNAM,"Jan 1, 2022",Aston Villa
NICOLÒ ZANIOLO,"Aug 18, 2023",Aston Villa
LEON BAILEY,"Aug 4, 2021",Aston Villa
MORGAN ROGERS,"Feb 1, 2024",Aston Villa
MOUSSA DIABY,"Jul 22, 2023",Aston Villa
EMILIANO BUENDÍA,"Jul 1, 2021",Aston Villa
OLLIE WATKINS,"Sep 9, 2020",Aston Villa
JHON DURÁN,"Jan 23, 2023",Aston Villa
ROBERT SÁNCHEZ,"Aug 5, 2023",Chelsea
DJORDJE PETROVIC,"Aug 26, 2023",Chelsea
MARCUS BETTINELLI,"Jul 28, 2021",Chelsea
LEVI COLWILL,"Jul 1, 2023",Chelsea
AXEL DISASI,"Aug 4, 2023",Chelsea
BENOÎT BADIASHILE,"Jan 5, 2023",Chelsea
WESLEY FOFANA,"Aug 31, 2022",Chelsea
TREVOH CHALOBAH,"Jul 1, 2021",Chelsea
MALANG SARR,"Aug 27, 2020",Chelsea
THIAGO SILVA,"Aug 28, 2020",Chelsea
ALFIE GILCHRIST,-,Chelsea
BEN CHILWELL,"Aug 26, 2020",Chelsea
MARC CUCURELLA,"Aug 5, 2022",Chelsea
REECE JAMES,"Jul 1, 2019",Chelsea
MALO GUSTO,"Jan 29, 2023",Chelsea
MOISÉS CAICEDO,"Aug 14, 2023",Chelsea
ROMÉO LAVIA,"Aug 18, 2023",Chelsea
LESLEY UGOCHUKWU,"Aug 1, 2023",Chelsea
ENZO FERNÁNDEZ,"Jan 31, 2023",Chelsea
CONOR GALLAGHER,"Jul 1, 2022",Chelsea
CARNEY CHUKWUEMEKA,"Aug 4, 2022",Chelsea
CESARE CASADEI,-,Chelsea
CHRISTOPHER NKUNKU,"Jul 1, 2023",Chelsea
COLE PALMER,"Sep 1, 2023",Chelsea
RAHEEM STERLING,"Jul 13, 2022",Chelsea
MYKHAYLO MUDRYK,"Jan 15, 2023",Chelsea
DIEGO MOREIRA,"Jul 1, 2023",Chelsea
NONI MADUEKE,"Jan 20, 2023",Chelsea
NICOLAS JACKSON,"Jul 1, 2023",Chelsea
DEIVID WASHINGTON,"Aug 24, 2023",Chelsea
GUGLIELMO VICARIO,"Jul 1, 2023",Tottenham Hotspur
FRASER FORSTER,"Jul 1, 2022",Tottenham Hotspur
BRANDON AUSTIN,"Aug 1, 2021",Tottenham Hotspur
ALFIE WHITEMAN,"Jul 1, 2019",Tottenham Hotspur
CRISTIAN ROMERO,"Aug 30, 2022",Tottenham Hotspur
MICKY VAN DE VEN,"Aug 8, 2023",Tottenham Hotspur
RADU DRĂGUȘIN,"Jan 11, 2024",Tottenham Hotspur
DESTINY UDOGIE,"Aug 16, 2022",Tottenham Hotspur
BEN DAVIES,"Jul 23, 2014",Tottenham Hotspur
PEDRO PORRO,"Jul 1, 2023",Tottenham Hotspur
EMERSON ROYAL,"Aug 31, 2021",Tottenham Hotspur
PIERRE-EMILE HØJBJERG,"Aug 11, 2020",Tottenham Hotspur
OLIVER SKIPP,"Jul 1, 2018",Tottenham Hotspur
PAPE MATAR SARR,"Aug 27, 2021",Tottenham Hotspur
RODRIGO BENTANCUR,"Jan 31, 2022",Tottenham Hotspur
YVES BISSOUMA,"Jul 1, 2022",Tottenham Hotspur
RYAN SESSEGNON,"Aug 8, 2019",Tottenham Hotspur
JAMES MADDISON,"Jul 1, 2023",Tottenham Hotspur
GIOVANI LO CELSO,"Jul 1, 2020",Tottenham Hotspur
HEUNG-MIN SON,"Aug 28, 2015",Tottenham Hotspur
MANOR SOLOMON,"Jul 11, 2023",Tottenham Hotspur
DEJAN KULUSEVSKI,"Jul 1, 2023",Tottenham Hotspur
BRENNAN JOHNSON,"Sep 1, 2023",Tottenham Hotspur
BRYAN GIL,"Jul 26, 2021",Tottenham Hotspur
RICHARLISON,"Jul 1, 2022",Tottenham Hotspur
TIMO WERNER,"Jan 9, 2024",Tottenham Hotspur
EDERSON,"Jul 1, 2017",Man City
STEFAN ORTEGA,"Jul 1, 2022",Man City
SCOTT CARSON,"Jul 20, 2021",Man City
RÚBEN DIAS,"Sep 29, 2020",Man City
JOSKO GVARDIOL,"Aug 5, 2023",Man City
MANUEL AKANJI,"Sep 1, 2022",Man City
NATHAN AKÉ,"Aug 5, 2020",Man City
JOHN STONES,"Aug 9, 2016",Man City
SERGIO GÓMEZ,"Aug 16, 2022",Man City
RICO LEWIS,"Jul 1, 2022",Man City
KYLE WALKER,"Jul 14, 2017",Man City
RODRI,"Jul 4, 2019",Man City
MATHEUS NUNES,"Sep 1, 2023",Man City
MATEO KOVACIC,"Jul 1, 2023",Man City
BERNARDO SILVA,"Jul 1, 2017",Man City
KEVIN DE BRUYNE,"Aug 30, 2015",Man City
JACK GREALISH,"Aug 5, 2021",Man City
JÉRÉMY DOKU,"Aug 24, 2023",Man City
PHIL FODEN,"Jul 1, 2017",Man City
OSCAR BOBB,"Jul 1, 2023",Man City
JULIÁN ÁLVAREZ,"Jan 31, 2022",Man City
ERLING HAALAND,"Jul 1, 2022",Man City
DAVID RAYA,"Aug 15, 2023",Arsenal
AARON RAMSDALE,"Aug 20, 2021",Arsenal
KARL HEIN,"Jul 1, 2022",Arsenal
WILLIAM SALIBA,"Jul 25, 2019",Arsenal
GABRIEL MAGALHÃES,"Sep 1, 2020",Arsenal
JURRIEN TIMBER,"Jul 14, 2023",Arsenal
JAKUB KIWIOR,"Jan 23, 2023",Arsenal
OLEKSANDR ZINCHENKO,"Jul 22, 2022",Arsenal
BEN WHITE,"Jul 30, 2021",Arsenal
TAKEHIRO TOMIYASU,"Aug 31, 2021",Arsenal
CÉDRIC SOARES,"Jul 1, 2020",Arsenal
DECLAN RICE,"Jul 15, 2023",Arsenal
THOMAS PARTEY,"Oct 5, 2020",Arsenal
JORGINHO,"Jan 31, 2023",Arsenal
MOHAMED ELNENY,"Jan 14, 2016",Arsenal
MARTIN ØDEGAARD,"Aug 20, 2021",Arsenal
KAI HAVERTZ,"Jul 1, 2023",Arsenal
FÁBIO VIEIRA,"Jul 1, 2022",Arsenal
EMILE SMITH ROWE,"Aug 1, 2020",Arsenal
GABRIEL MARTINELLI,"Jul 2, 2019",Arsenal
LEANDRO TROSSARD,"Jan 20, 2023",Arsenal
BUKAYO SAKA,"Jul 1, 2019",Arsenal
REISS NELSON,"Jul 1, 2019",Arsenal
GABRIEL JESUS,"Jul 4, 2022",Arsenal
EDDIE NKETIAH,"Jan 1, 2019",Arsenal
NICK POPE,"Jul 1, 2022",Newcastle
MARTIN DÚBRAVKA,"Jul 1, 2018",Newcastle
LORIS KARIUS,"Sep 12, 2022",Newcastle
MARK GILLESPIE,"Jul 3, 2020",Newcastle
SVEN BOTMAN,"Jul 1, 2022",Newcastle
FABIAN SCHÄR,"Jul 26, 2018",Newcastle
JAMAAL LASCELLES,"Aug 9, 2014",Newcastle
PAUL DUMMETT,"Jul 1, 2012",Newcastle
LEWIS HALL,"Aug 22, 2023",Newcastle
MATT TARGETT,"Jul 1, 2022",Newcastle
DAN BURN,"Jan 31, 2022",Newcastle
TINO LIVRAMENTO,"Aug 8, 2023",Newcastle
KIERAN TRIPPIER,"Jan 7, 2022",Newcastle
EMIL KRAFTH,"Aug 8, 2019",Newcastle
BRUNO GUIMARÃES,"Jan 30, 2022",Newcastle
SANDRO TONALI,"Jul 3, 2023",Newcastle
JOELINTON,"Jul 23, 2019",Newcastle
JOE WILLOCK,"Aug 13, 2021",Newcastle
SEAN LONGSTAFF,"Jan 1, 2019",Newcastle
LEWIS MILEY,"Jul 1, 2023",Newcastle
MATT RITCHIE,"Jul 1, 2016",Newcastle
ELLIOT ANDERSON,"Jul 1, 2022",Newcastle
ANTHONY GORDON,"Jan 29, 2023",Newcastle
HARVEY BARNES,"Jul 23, 2023",Newcastle
MIGUEL ALMIRÓN,"Jan 31, 2019",Newcastle
JACOB MURPHY,"Jul 19, 2017",Newcastle
ALEXANDER ISAK,"Aug 26, 2022",Newcastle
CALLUM WILSON,"Sep 7, 2020",Newcastle
BERND LENO,"Aug 2, 2022",Fulham
MAREK RODÁK,"Jul 1, 2019",Fulham
STEVEN BENDA,"Aug 30, 2023",Fulham
ISSA DIOP,"Aug 10, 2022",Fulham
CALVIN BASSEY,"Jul 28, 2023",Fulham
TOSIN ADARABIOYO,"Oct 5, 2020",Fulham
TIM REAM,"Aug 20, 2015",Fulham
ANTONEE ROBINSON,"Aug 20, 2020",Fulham
FODÉ BALLO-TOURÉ,"Sep 1, 2023",Fulham
TIMOTHY CASTAGNE,"Aug 29, 2023",Fulham
KENNY TETE,"Sep 10, 2020",Fulham
JOÃO PALHINHA,"Jul 4, 2022",Fulham
HARRISON REED,"Aug 30, 2020",Fulham
SAŠA LUKIĆ,"Jan 31, 2023",Fulham
TOM CAIRNEY,"Jul 1, 2015",Fulham
ALEX IWOBI,"Sep 1, 2023",Fulham
ANDREAS PEREIRA,"Jul 11, 2022",Fulham
BOBBY DE CORDOVA-REID,"Jan 24, 2020",Fulham
WILLIAN,"Sep 1, 2022",Fulham
HARRY WILSON,"Jul 24, 2021",Fulham
ADAMA TRAORÉ,"Aug 12, 2023",Fulham
ARMANDO BROJA,"Feb 1, 2024",Fulham
RAÚL JIMÉNEZ,"Jul 25, 2023",Fulham
RODRIGO MUNIZ,"Aug 20, 2021",Fulham
ALISSON,"Jul 19, 2018",Liverpool
CAOIMHÍN KELLEHER,"Jul 1, 2019",Liverpool
ADRIÁN,"Aug 5, 2019",Liverpool
IBRAHIMA KONATÉ,"Jul 1, 2021",Liverpool
VIRGIL VAN DIJK,"Jan 1, 2018",Liverpool
JOE GOMEZ,"Jul 1, 2015",Liverpool
JOEL MATIP,"Jul 1, 2016",Liverpool
JARELL QUANSAH,"Jul 1, 2023",Liverpool
RHYS WILLIAMS,"Jul 1, 2020",Liverpool
ANDREW ROBERTSON,"Jul 21, 2017",Liverpool
KONSTANTINOS TSIMIKAS,"Aug 10, 2020",Liverpool
TRENT ALEXANDER-ARNOLD,"Jul 1, 2016",Liverpool
CONOR BRADLEY,"Jul 1, 2023",Liverpool
WATARU ENDO,"Aug 18, 2023",Liverpool
STEFAN BAJCETIC,"Jul 1, 2022",Liverpool
DOMINIK SZOBOSZLAI,"Jul 2, 2023",Liverpool
ALEXIS MAC ALLISTER,"Jul 1, 2023",Liverpool
RYAN GRAVENBERCH,"Sep 1, 2023",Liverpool
CURTIS JONES,"Jul 1, 2020",Liverpool
THIAGO,"Sep 18, 2020",Liverpool
BOBBY CLARK,-,Liverpool
HARVEY ELLIOTT,"Jul 1, 2021",Liverpool
LUIS DÍAZ,"Jan 30, 2022",Liverpool
CODY GAKPO,"Jan 1, 2023",Liverpool
DIOGO JOTA,"Sep 19, 2020",Liverpool
MOHAMED SALAH,"Jul 1, 2017",Liverpool
BEN DOAK,"Jul 1, 2023",Liverpool
DARWIN NÚÑEZ,"Jul 1, 2022",Liverpool
ANDRÉ ONANA,"Jul 20, 2023",Man Utd
ALTAY BAYINDIR,"Sep 1, 2023",Man Utd
TOM HEATON,"Jul 2, 2021",Man Utd
LISANDRO MARTÍNEZ,"Jul 27, 2022",Man Utd
RAPHAËL VARANE,"Aug 14, 2021",Man Utd
HARRY MAGUIRE,"Aug 5, 2019",Man Utd
VICTOR LINDELÖF,"Jul 1, 2017",Man Utd
JONNY EVANS,"Jul 18, 2023",Man Utd
WILLY KAMBWALA,"Dec 23, 2023",Man Utd
LUKE SHAW,"Jul 1, 2014",Man Utd
TYRELL MALACIA,"Jul 5, 2022",Man Utd
DIOGO DALOT,"Jul 1, 2018",Man Utd
AARON WAN-BISSAKA,"Jul 1, 2019",Man Utd
CASEMIRO,"Aug 22, 2022",Man Utd
SOFYAN AMRABAT,"Sep 1, 2023",Man Utd
SCOTT MCTOMINAY,"Jul 1, 2017",Man Utd
CHRISTIAN ERIKSEN,"Jul 15, 2022",Man Utd
KOBBIE MAINOO,"Jan 1, 2023",Man Utd
BRUNO FERNANDES,"Jan 29, 2020",Man Utd
MASON MOUNT,"Jul 5, 2023",Man Utd
SHOLA SHORETIRE,"Feb 8, 2021",Man Utd
MARCUS RASHFORD,"Jan 1, 2016",Man Utd
ALEJANDRO GARNACHO,"Jul 1, 2022",Man Utd
ANTONY,"Aug 30, 2022",Man Utd
AMAD DIALLO,"Jan 2, 2021",Man Utd
RASMUS HØJLUND,"Aug 5, 2023",Man Utd
ANTHONY MARTIAL,"Sep 1, 2015",Man Utd
